Toronto,P1,P2,P3
30-Nov,Watts,Nurse,Daniel
,Maltais,Turnbull,Woods
,Gosling,Miller,Compher
,Connors,Bach,Neubauerova
,,,Willoughby
,Larocque,Fast,
,MacKinnon,Flanagan,
,Bernard,Munroe,
,,,
03-Dec,Watts,Nurse,Daniel
,Maltais,Turnbull,Compher
,Gosling,Miller,Woods
,Connors,Neubauerova,Bach
,,,Willoughby
,Larocque,Fast,
,MacKinnon,Flanagan,
,Bernard,Munroe,
,,,
07-Dec,Maltais,Nurse,Daniel
,Watts,Miller,Bach
,Gosling,Turnbull,Compher
,Connors,Neubauerova,Woods
,,,Willoughby
,Larocque,Fast,
,Munroe,Flanagan,
,MacKinnon,Bernard,
,,,
18-Dec,Maltais,Nurse,Daniel
,Watts,Miller,Connors
,Gosling,Turnbull,Compher
,Willoughby,Neubauerova,Woods
,,Bach,
,Larocque,Fast,
,Munroe,Flanagan,
,MacKinnon,Bernard,
,,,
21-Dec,Maltais,Turnbull,Daniel
,Miller,Nurse,Watts
,Gosling,Compher,Woods
,Connors,Bach,Willoughby
,,,Rankila
,Larocque,Fast,
,Munroe,Flanagan,
,MacKinnon,Bernard,
,,,
27-Dec,Maltais,Turnbull,Daniel
,Miller,Nurse,Watts
,Gosling,Compher,Woods
,Connors,Bach,Willoughby
,,,Rankila
,Larocque,Fast,
,Munroe,Flanagan,
,Bernard,Kondas,
,,,
31-Dec,Miller,Nurse,Watts
,Maltais,Turnbull,Scamurra
,Gosling,Compher,Woods
,Connors,Neubauerova,Daniel
,,,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,Bernard,MacKinnon,
,,,
08-Jan,Maltais,Turnbull,Scamurra
,Watts,Nurse,Daniel
,Miller,Compher,Gosling
,Connors,Neubauerova,Woods
,,,Rankila
,Harmon,Fast,
,Munroe,Flanagan,
,MacKinnon,Bernard,
,,,
12-Jan,Watts,Nurse,Miller
,Scamurra,Turnbull,Compher
,Gosling,Maltais,Woods
,Connors,Neubauerova,Daniel
,,,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,MacKinnon,Bernard,
,,,
14-Jan,Watts,Nurse,Miller
,Scamurra,Turnbull,Compher
,Gosling,Maltais,Woods
,Connors,Neubauerova,Daniel
,,,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,MacKinnon,Bernard,
,,,
22-Jan,Watts,Nurse,Miller
,Scamurra,Turnbull,Compher
,Gosling,Maltais,Woods
,Connors,Neubauerova,Daniel
,,,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,MacKinnon,Bernard,
,,,
25-Jan,Watts,Nurse,Daniel
,Maltais,Turnbull,Compher
,Gosling,Miller,Woods
,Connors,Neubauerova,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,Bernard,,
,,,
28-Jan,Watts,Nurse,Daniel
,Maltais,Turnbull,Compher
,Gosling,Miller,Woods
,Connors,Neubauerova,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,Bernard,,
,,,
30-Jan,Maltais,Nurse,Watts
,Gosling,Turnbull,Compher
,Connors,Miller,Daniel
,Willoughby,Neubauerova,Woods
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,Bernard,,
,,,
01-Feb,Maltais,Nurse,Watts
,Connors,Turnbull,Compher
,Gosling,Miller,Daniel
,Willoughby,Neubauerova,Woods
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,Bernard,,
,,,
11-Feb,Watts,Miller,Spooner
,Maltais,Turnbull,Compher
,Gosling,Woods,Daniel
,Connors,Neubauerova,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,,,
14-Feb,Watts,Miller,Spooner
,Scamurra,Turnbull,Compher
,Maltais,Woods,Daniel
,Gosling,Neubauerova,Connors
,,,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,,,
16-Feb,Watts,Miller,Maltais
,Scamurra,Turnbull,Compher
,Gosling,Woods,Daniel
,Connors,Kluge,Neubauerova
,,,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,,,
19-Feb,Watts,Miller,Daniel
,Scamurra,Turnbull,Compher
,Maltais,Woods,Spooner
,Connors,Kluge,Willoughby
,Gosling,,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,,,
23-Feb,Watts,Miller,Daniel
,Scamurra,Turnbull,Compher
,Maltais,Woods,Spooner
,Connors,Kluge,Neubauerova
,Gosling,,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,,,
25-Feb,Watts,Maltais,Daniel
,Scamurra,Turnbull,Compher
,Gosling,Woods,Spooner
,Connors,Kluge,Willoughby
,,Neubauerova,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,,,
06-Mar,Watts,Miller,Daniel
,Scamurra,Turnbull,Compher
,Maltais,Woods,Spooner
,Gosling,Kluge,Connors
,,,Willoughby
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,,,
09-Mar,Watts,Miller,Daniel
,Scamurra,Turnbull,Compher
,Maltais,Woods,Spooner
,Gosling,Kluge,Connors
,,,Neubauerova
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,MacKinnon,
,,,
19-Mar,Watts,Miller,Spooner
,Scamurra,Turnbull,Compher
,Maltais,Woods,Gosling
,Connors,Kluge,Daniel
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
,,,
23-Mar,Watts,Miller,Gosling
,Maltais,Nurse,Spooner
,Scamurra,Turnbull,Compher
,Connors,Woods,Daniel
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
,,,
26-Mar,Watts,Miller,Gosling
,Maltais,Nurse,Spooner
,Scamurra,Turnbull,Compher
,Connors,Woods,Daniel
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
,,,
30-Mar,Watts,Miller,Gosling
,Maltais,Nurse,Spooner
,Scamurra,Turnbull,Compher
,Connors,Woods,Daniel
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
,,,
26-Apr,Watts,Miller,Spooner
,Maltais,Nurse,Gosling
,Scamurra,Turnbull,Compher
,Connors,Woods,Daniel
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
,,,
29-Apr,Watts,Miller,Compher
,Maltais,Nurse,Spooner
,Scamurra,Turnbull,Daniel
,Connors,Gosling,Woods
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
,,,
03-May,Watts,Miller,Compher
,Maltais,Nurse,Spooner
,Scamurra,Turnbull,Daniel
,Connors,Gosling,Woods
,,Kluge,
,Harmon,Fast,
,Munroe,Flanagan,
,Carter,Kjellbin,
